Sample ID	OTZ number	sample	reads	Type	Cruise	platform	cast	deployment	depth	experiment	diel	unique_id	rep	depth_group2	depth_group	temp	oxy	sal	fluor
OTZ-12S-1612	OTZ-1612	EN688 C07 N20	71420	sample	EN688	ctd	7	C007	20	daytime low-res		7_20							
OTZ-12S-1646	OTZ-1646	EN688 C07 N18	1749	sample	EN688	ctd	7	C007	35	daytime low-res	day	7_35							
OTZ-12S-1645	OTZ-1645	EN688 C07 N16	736	sample	EN688	ctd	7	C007	51	daytime low-res	day	7_51							
OTZ-12S-1644	OTZ-1644	EN688 C07 N14	122901	sample	EN688	ctd	7	C007	60	daytime low-res	day	7_60							
OTZ-12S-1643	OTZ-1643	EN688 C07 N12	129020	sample	EN688	ctd	7	C007	76	daytime low-res	day	7_76							
OTZ-12S-1642	OTZ-1642	EN688 C07 N10	129107	sample	EN688	ctd	7	C007	126	daytime low-res	day	7_126							
OTZ-12S-1641	OTZ-1641	EN688 C07 N8	62549	sample	EN688	ctd	7	C007	201	daytime low-res	day	7_201							
OTZ-12S-1640	OTZ-1640	EN688 C07 N6	153218	sample	EN688	ctd	7	C007	401	daytime low-res	day	7_401							
OTZ-12S-1639	OTZ-1639	EN688 C07 N4	186818	sample	EN688	ctd	7	C007	750	daytime low-res	day	7_750							
OTZ-12S-1638	OTZ-1638	EN688 C07 N2	155604	sample	EN688	ctd	7	C007	998	daytime low-res	day	7_998							
OTZ-12S-1614	OTZ-1614	EN688 C07 Ctrl	418	control	EN688	ctd	7	C007	NA	daytime low-res									
OTZ-12S-1660	OTZ-1660	EN688 C08 N23	145754	sample	EN688	ctd	8	C008	16	nightime high-res	night	8_16							
OTZ-12S-1659	OTZ-1659	EN688 C08 N22	101552	sample	EN688	ctd	8	C008	26	nightime high-res	night	8_26							
OTZ-12S-1658	OTZ-1658	EN688 C08 N21	8294	sample	EN688	ctd	8	C008	35	nightime high-res	night	8_35							
OTZ-12S-1657	OTZ-1657	EN688 C08 N20	120739	sample	EN688	ctd	8	C008	45	nightime high-res	night	8_45							
OTZ-12S-1656	OTZ-1656	EN688 C08 N19	31487	sample	EN688	ctd	8	C008	55	nightime high-res	night	8_55							
OTZ-12S-1655	OTZ-1655	EN688 C08 N17	32382	sample	EN688	ctd	8	C008	75	nightime high-res	night	8_75							
OTZ-12S-1654	OTZ-1654	EN688 C08 N16	82935	sample	EN688	ctd	8	C008	91	nightime high-res	night	8_91							
OTZ-12S-1653	OTZ-1653	EN688 C08 N14	15766	sample	EN688	ctd	8	C008	122	nightime high-res	night	8_122							
OTZ-12S-1652	OTZ-1652	EN688 C08 N12	34879	sample	EN688	ctd	8	C008	151	nightime high-res	night	8_151							
OTZ-12S-1651	OTZ-1651	EN688 C08 N9	150310	sample	EN688	ctd	8	C008	203	nightime high-res	night	8_203							
OTZ-12S-1650	OTZ-1650	EN688 C08 N7	123361	sample	EN688	ctd	8	C008	252	nightime high-res	night	8_252							
OTZ-12S-1649	OTZ-1649	EN688 C08 N5	210721	sample	EN688	ctd	8	C008	304	nightime high-res	night	8_304							
OTZ-12S-1648	OTZ-1648	EN688 C08 N3	162972	sample	EN688	ctd	8	C008	404	nightime high-res	night	8_404							
OTZ-12S-1647	OTZ-1647	EN688 C08 N1	179480	sample	EN688	ctd	8	C008	505	nightime high-res	night	8_505							
OTZ-12S-1615	OTZ-1615	EN688 C08 Ctrl	55	control	EN688	ctd	8	C008	NA	nightime high-res									
OTZ-12S-1674	OTZ-1674	EN688 C10 N23	228293	sample	EN688	ctd	10	C010	16	daytime high-res	day	10_16							
OTZ-12S-1673	OTZ-1673	EN688 C10 N22	199485	sample	EN688	ctd	10	C010	25	daytime high-res	day	10_25							
OTZ-12S-1672	OTZ-1672	EN688 C10 N21	133693	sample	EN688	ctd	10	C010	35	daytime high-res	day	10_35							
OTZ-12S-1671	OTZ-1671	EN688 C10 N20	122977	sample	EN688	ctd	10	C010	46	daytime high-res	day	10_46							
OTZ-12S-1670	OTZ-1670	EN688 C10 N19	132524	sample	EN688	ctd	10	C010	56	daytime high-res	day	10_56							
OTZ-12S-1669	OTZ-1669	EN688 C10 N17	88116	sample	EN688	ctd	10	C010	76	daytime high-res	day	10_76							
